"Immortals Fenyx Rising - Digital Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 749,000"
"Untitled Goose Game (Simplified Chinese, English, Korean, Japanese)","Rp 279,000"
FINAL FANTASY TYPE-0 HD (Chinese/Korean Ver.),"Rp 339,000"
"NEO: The World Ends with You (English, Japanese)","Rp 879,000"
"Devil May Cry 5 (English, Japanese)",Included
Life is Strange Complete Season (English),"Rp 163,000"
LEGO® Batman™ 3: Beyond Gotham - PlayStation®Hits (English Ver.),"Rp 279,000"
"Far Cry 5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 659,000"
TEKKEN 7 (English),"Rp 110,000"
"Far Cry Primal - Digital Standard Edition PlayStation®Hits (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 279,000"
EARTH DEFENSE FORCE 5 (English/Chinese/Korean Ver.),"Rp 524,000"
"Far Cry New Dawn - Digital Standard Edition (Simplified Chinese, English, Korean)","Rp 519,000"
Street Fighter V: Champion Edition (Game),"Rp 144,500"
"Haven (Simplified Chinese, English, Japanese)","Rp 349,000"
RAGE 2 (English/Chinese/Korean Ver.),"Rp 579,000"
CODE VEIN (English),"Rp 749,000"
"Journey To The Savage Planet: Employee Of The Month (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 422,000"
Middle-earth™: Shadow of Mordor™ (English/Chinese/Korean Ver.),Included
MEGA DIMENSION NEPTUNE VII (Japanese Ver.),"Rp 638,000"
Ryu Ga Gotoku 7: Hikari To Yami No Yukue (Chinese/Japanese Ver.),"Rp 271,320"
"Riders Republic PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 589,000"
Wolfenstein® II: The New Colossus™ (English/Chinese Ver.),"Rp 532,000"
"Tchia (PS4 & PS5) (Simplified Chinese, English, Korean, Japanese)","Rp 278,850"
The Evil Within 2 (English/Chinese/Korean Ver.),"Rp 532,000"
Dishonored®: Death of the Outsider™ (English/Chinese Ver.),"Rp 370,000"
Wolfenstein: Youngblood (English/Chinese/Korean Ver.),"Rp 279,000"
"Thymesia (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 287,430"
"Rune Factory 4 Special (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"STORY OF SEASONS: Friends of Mineral Town (Simplified Chinese, Korean, Traditional Chinese)","Rp 321,000"
"STORY OF SEASONS: Pioneers of Olive Town (Simplified Chinese, Korean, Traditional Chinese)","Rp 320,000"
"Soundfall (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Soundfall (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Ghostwire: Tokyo (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 829,000"
"Tom Clancy’s Rainbow Six Extraction PS4 & PS5 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 515,000"
The Evil Within (Chinese Ver.),"Rp 319,000"
Wolfenstein: The Old Blood (English),"Rp 257,000"
"Bassmaster® Fishing PS4™ and PS5™ (Simplified Chinese, English, Japanese)","Rp 579,000"
"Life is Strange: True Colors PS4 & PS5 (Simplified Chinese, English, Japanese)","Rp 879,000"
"The Quarry for PS4™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 859,000"
"The Quarry for PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 999,000"
"Outer Wilds (Simplified Chinese, English, Korean, Japanese)","Rp 209,400"
"SCARLET NEXUS PS4 & PS5 (English, Japanese)","Rp 187,250"
"Borderlands 3 PS4™ &  PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 890,000"
"Sackboy: A Big Adventure PS4 & PS5 (English, Korean, Traditional Chinese)","Rp 879,000"
"Yakuza: Like a Dragon PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 271,660"
The Pedestrian (English),"Rp 279,000"
INSIDE (English/Chinese/Korean Ver.),"Rp 199,000"
Ryu Ga Gotoku KIWAMI (Chinese Ver.),"Rp 114,400"
Ryu Ga Gotoku KIWAMI2 (Chinese Ver.),"Rp 307,560"
"The Medium (Simplified Chinese, English)","Rp 699,000"
DRAGON QUEST BUILDERS：Alefgard wo Fukkatsu Seyo (PS4™) (Chinese Ver.),"Rp 299,000"
Dragon Quest Heroes™: Yamiryuu to Sekaiju no Shiro (Chinese/Korean Ver.),"Rp 339,000"
DRAGON BALL XENOVERSE 2 (English),"Rp 279,000"
"FINAL FANTASY VII REMAKE INTERGRADE (Chinese/Korean Version) (Simplified Chinese, Korean, Traditional Chinese)","Rp 579,000"
"Ghost of Tsushima DIRECTOR’S CUT (PlayStation Plus) (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",Included
"Dead by Daylight PS4™ & PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Chorus (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 579,000"
EARTH DEFENSE FORCE: IRON RAIN (English/Chinese/Korean/Japanese Ver.),"Rp 724,000"
"The Gardens Between (English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
Ghost Recon Breakpoint - Standard Edition (English/Chinese/Korean/Japanese Ver.),"Rp 749,000"
"OMNO (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 199,000"
"Ghost Recon Wildlands - Digital Standard Edition (Simplified Chinese, English, Korean)","Rp 91,000"
"Bugsnax (Simplified Chinese, English, Korean, Japanese)","Rp 349,000"
"My Time at Portia (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 111,750"
"Returnal™ (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 1,029,000"
"Demon's Souls (Simplified Chinese, English, Korean, Thai, Traditional Chinese)","Rp 432,180"
"Assassin's Creed Chronicles - China (English, Korean, Traditional Chinese)","Rp 41,600"
"Assassin's Creed Chronicles - India (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 41,600"
"Rogue Legacy 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"Inscryption (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
Deus Ex: Mankind Divided (Game),"Rp 102,000"
"Killing Floor 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Lonely Mountains: Downhill (Simplified Chinese, English, Korean, Japanese)","Rp 279,000"
"Ratchet & Clank: Rift Apart (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 1,029,000"
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 579,000"
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 729,000"
"Hundred Days - Winemaking Simulator (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Carto (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
"Dodgeball Academia (Simplified Chinese, English, Japanese)","Rp 349,000"
"The Wild at Heart (Simplified Chinese, English, Korean, Japanese)","Rp 349,000"
Thief (Game),"Rp 52,350"
"MX vs ATV Legends (Simplified Chinese, English, Korean, Japanese)","Rp 318,450"
"HUMANITY (English, Japanese)","Rp 429,000"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 749,000"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 112,350"
"UNCHARTED: Legacy of Thieves Collection (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 729,000"
"ELEX II PS4 & PS5 (Simplified Chinese, English, Japanese)","Rp 373,050"
"Conan Exiles (Simplified Chinese, English, Korean)","Rp 699,000"
"Kena: Bridge of Spirits PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 579,000"
Dishonored 2 (English/Chinese Ver.),"Rp 85,800"
TOMB RAIDER DEFINITIVE EDITION full game (English/Chinese/Korean Ver.),"Rp 74,750"
"DOOM Eternal Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 532,000"
Ryu Ga Gotoku 6 Inochino Uta (Chinese Ver.),"Rp 351,120"
"Tom Clancy's Rainbow Six Siege (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Included
LittleBigPlanet™ 3 PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 279,000"
I Am Setsuna (English Ver.),"Rp 488,000"
"JETT: The Far Shore + Given Time (English, Japanese)","Rp 429,000"
KINGDOM HEARTS HD -1.5+2.5 ReMIX- (English Ver.),"Rp 569,000"
KINGDOM HEARTS HD 2.8 FINAL CHAPTER PROLOGUE (English),"Rp 699,000"
KINGDOM HEARTS III (Chinese/Korean Ver.),"Rp 724,000"
Erica (English),"Rp 70,000"
"DRAGON QUEST XI S: Echoes of an Elusive Age – Definitive Edition (Simplified Chinese, Korean, Traditional Chinese)","Rp 579,000"
Tom Clancy's The Division® 2 (English/Chinese/Korean/Japanese Ver.),"Rp 103,500"
"Assassin's Creed Odyssey - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 149,000"
DRAGON QUEST BUILDERS 2 (Chinese/Korean Ver.),"Rp 499,000"
DRAGONQUEST HEROES II Futago no Ou to Yogen no Owari (Chinese/Korean Ver.),"Rp 299,000"
"The Elder Scrolls V: Skyrim Special Edition - PS5 & PS4 (Simplified Chinese, English, Traditional Chinese)","Rp 532,000"
JUDGE EYES: wills of death New Price Edition (Chinese Ver.),"Rp 239,000"
Adventure Time Pirates of the Enchiridion (English),"Rp 665,000"
"Spiritfarer®: Farewell Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Stray (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 321,750"
"The Dark Pictures Anthology: Little Hope PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 119,600"
"The Dark Pictures Anthology: Little Hope PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 119,600"
ODDWORLD: NEW 'N' TASTY full game (English Ver.),"Rp 364,000"
"What Remains of Edith Finch (Simplified Chinese, English, Korean, Japanese)","Rp 69,750"
"Mortal Shell (Simplified Chinese, English, Korean, Japanese)","Rp 429,000"
